20:24:15.384 [sbt-bg-threads-1] INFO  DatacenterBroker - 60.11: DatacenterBrokerSimple4: Cloudlet 3 finished in Vm 6 and returned to broker.
20:24:15.384 [sbt-bg-threads-1] INFO  DatacenterBroker - 60.11: DatacenterBrokerSimple4: Cloudlet 5 finished in Vm 8 and returned to broker.
20:24:15.384 [sbt-bg-threads-1] INFO  DatacenterBroker - 60.11: DatacenterBrokerSimple4: Cloudlet 7 finished in Vm 1 and returned to broker.
20:24:15.384 [sbt-bg-threads-1] INFO  DatacenterBroker - 60.11: DatacenterBrokerSimple4: Cloudlet 8 finished in Vm 2 and returned to broker.
20:24:15.384 [sbt-bg-threads-1] INFO  DatacenterBroker - 60.11: DatacenterBrokerSimple4: Cloudlet 9 finished in Vm 3 and returned to broker.
20:24:15.388 [sbt-bg-threads-1] INFO  DatacenterBroker - 120.33: DatacenterBrokerSimple4: Cloudlet 10 finished in Vm 0 and returned to broker.
20:24:15.389 [sbt-bg-threads-1] INFO  DatacenterBroker - 120.33: DatacenterBrokerSimple4: Cloudlet 12 finished in Vm 5 and returned to broker.
20:24:15.389 [sbt-bg-threads-1] INFO  DatacenterBroker - 120.33: DatacenterBrokerSimple4: Cloudlet 14 finished in Vm 7 and returned to broker.
20:24:15.389 [sbt-bg-threads-1] INFO  DatacenterBroker - 120.33: DatacenterBrokerSimple4: Cloudlet 16 finished in Vm 9 and returned to broker.
20:24:15.389 [sbt-bg-threads-1] INFO  DatacenterBroker - 120.33: DatacenterBrokerSimple4: Cloudlet 11 finished in Vm 4 and returned to broker.
20:24:15.389 [sbt-bg-threads-1] INFO  DatacenterBroker - 120.33: DatacenterBrokerSimple4: Cloudlet 13 finished in Vm 6 and returned to broker.
20:24:15.389 [sbt-bg-threads-1] INFO  DatacenterBroker - 120.33: DatacenterBrokerSimple4: Cloudlet 15 finished in Vm 8 and returned to broker.
20:24:15.389 [sbt-bg-threads-1] INFO  DatacenterBroker - 120.33: DatacenterBrokerSimple4: Cloudlet 17 finished in Vm 1 and returned to broker.
20:24:15.389 [sbt-bg-threads-1] INFO  DatacenterBroker - 120.33: DatacenterBrokerSimple4: Cloudlet 18 finished in Vm 2 and returned to broker.
20:24:15.390 [sbt-bg-threads-1] INFO  DatacenterBroker - 120.33: DatacenterBrokerSimple4: Cloudlet 19 finished in Vm 3 and returned to broker.
20:24:15.394 [sbt-bg-threads-1] INFO  DatacenterBroker - 180.55: DatacenterBrokerSimple4: Cloudlet 20 finished in Vm 0 and returned to broker.
20:24:15.394 [sbt-bg-threads-1] INFO  DatacenterBroker - 180.55: DatacenterBrokerSimple4: Cloudlet 22 finished in Vm 5 and returned to broker.
20:24:15.394 [sbt-bg-threads-1] INFO  DatacenterBroker - 180.55: DatacenterBrokerSimple4: Cloudlet 24 finished in Vm 7 and returned to broker.
20:24:15.394 [sbt-bg-threads-1] INFO  DatacenterBroker - 180.55: DatacenterBrokerSimple4: Cloudlet 26 finished in Vm 9 and returned to broker.
20:24:15.394 [sbt-bg-threads-1] INFO  DatacenterBroker - 180.55: DatacenterBrokerSimple4: Cloudlet 21 finished in Vm 4 and returned to broker.
20:24:15.394 [sbt-bg-threads-1] INFO  DatacenterBroker - 180.55: DatacenterBrokerSimple4: Cloudlet 23 finished in Vm 6 and returned to broker.
20:24:15.394 [sbt-bg-threads-1] INFO  DatacenterBroker - 180.55: DatacenterBrokerSimple4: Cloudlet 25 finished in Vm 8 and returned to broker.
20:24:15.394 [sbt-bg-threads-1] INFO  DatacenterBroker - 180.55: DatacenterBrokerSimple4: Cloudlet 27 finished in Vm 1 and returned to broker.
20:24:15.394 [sbt-bg-threads-1] INFO  DatacenterBroker - 180.55: DatacenterBrokerSimple4: Cloudlet 28 finished in Vm 2 and returned to broker.
20:24:15.394 [sbt-bg-threads-1] INFO  DatacenterBroker - 180.55: DatacenterBrokerSimple4: Cloudlet 29 finished in Vm 3 and returned to broker.
20:24:15.397 [sbt-bg-threads-1] INFO  DatacenterBroker - 240.77: DatacenterBrokerSimple4: Cloudlet 30 finished in Vm 0 and returned to broker.
20:24:15.397 [sbt-bg-threads-1] INFO  DatacenterBroker - 240.77: DatacenterBrokerSimple4: Cloudlet 32 finished in Vm 5 and returned to broker.
20:24:15.397 [sbt-bg-threads-1] INFO  DatacenterBroker - 240.77: DatacenterBrokerSimple4: Cloudlet 34 finished in Vm 7 and returned to broker.
20:24:15.397 [sbt-bg-threads-1] INFO  DatacenterBroker - 240.77: DatacenterBrokerSimple4: Cloudlet 36 finished in Vm 9 and returned to broker.
20:24:15.398 [sbt-bg-threads-1] INFO  DatacenterBroker - 240.77: DatacenterBrokerSimple4: Cloudlet 31 finished in Vm 4 and returned to broker.
20:24:15.398 [sbt-bg-threads-1] INFO  DatacenterBroker - 240.77: DatacenterBrokerSimple4: Cloudlet 33 finished in Vm 6 and returned to broker.
20:24:15.398 [sbt-bg-threads-1] INFO  DatacenterBroker - 240.77: DatacenterBrokerSimple4: Cloudlet 35 finished in Vm 8 and returned to broker.
20:24:15.398 [sbt-bg-threads-1] INFO  DatacenterBroker - 240.77: DatacenterBrokerSimple4: Cloudlet 37 finished in Vm 1 and returned to broker.
20:24:15.398 [sbt-bg-threads-1] INFO  DatacenterBroker - 240.77: DatacenterBrokerSimple4: Cloudlet 38 finished in Vm 2 and returned to broker.
20:24:15.398 [sbt-bg-threads-1] INFO  DatacenterBroker - 240.77: DatacenterBrokerSimple4: Cloudlet 39 finished in Vm 3 and returned to broker.
20:24:15.399 [sbt-bg-threads-1] INFO  CloudSim - 240.88: Processing last events before simulation shutdown.
20:24:15.400 [sbt-bg-threads-1] INFO  DatacenterBroker - 240.88: DatacenterBrokerSimple4 is shutting down...
20:24:15.400 [sbt-bg-threads-1] INFO  DatacenterBroker - 240.88: DatacenterBrokerSimple4: Requesting Vm 3 destruction.
20:24:15.400 [sbt-bg-threads-1] INFO  DatacenterBroker - 240.88: DatacenterBrokerSimple4: Requesting Vm 2 destruction.
20:24:15.400 [sbt-bg-threads-1] INFO  DatacenterBroker - 240.88: DatacenterBrokerSimple4: Requesting Vm 1 destruction.
20:24:15.400 [sbt-bg-threads-1] INFO  DatacenterBroker - 240.88: DatacenterBrokerSimple4: Requesting Vm 9 destruction.
20:24:15.401 [sbt-bg-threads-1] INFO  DatacenterBroker - 240.88: DatacenterBrokerSimple4: Requesting Vm 8 destruction.
20:24:15.401 [sbt-bg-threads-1] INFO  DatacenterBroker - 240.88: DatacenterBrokerSimple4: Requesting Vm 7 destruction.
20:24:15.401 [sbt-bg-threads-1] INFO  DatacenterBroker - 240.88: DatacenterBrokerSimple4: Requesting Vm 6 destruction.
20:24:15.401 [sbt-bg-threads-1] INFO  DatacenterBroker - 240.88: DatacenterBrokerSimple4: Requesting Vm 5 destruction.
20:24:15.401 [sbt-bg-threads-1] INFO  DatacenterBroker - 240.88: DatacenterBrokerSimple4: Requesting Vm 4 destruction.
20:24:15.401 [sbt-bg-threads-1] INFO  DatacenterBroker - 240.88: DatacenterBrokerSimple4: Requesting Vm 0 destruction.
20:24:15.403 [sbt-bg-threads-1] INFO  Datacenter - 240.88: DatacenterSimple: Vm 9 destroyed on Host 0/DC 1. 
20:24:15.403 [sbt-bg-threads-1] INFO  Datacenter - 240.88: DatacenterSimple: Vm 8 destroyed on Host 1/DC 1. 
20:24:15.403 [sbt-bg-threads-1] INFO  Datacenter - 240.88: DatacenterSimple: Vm 7 destroyed on Host 0/DC 1. 
20:24:15.403 [sbt-bg-threads-1] INFO  Datacenter - 240.88: DatacenterSimple: Vm 6 destroyed on Host 1/DC 1. 
20:24:15.403 [sbt-bg-threads-1] INFO  Datacenter - 240.88: DatacenterSimple: Vm 5 destroyed on Host 0/DC 1. 
20:24:15.404 [sbt-bg-threads-1] INFO  Datacenter - 240.88: DatacenterSimple: Vm 4 destroyed on Host 1/DC 1. 
20:24:15.404 [sbt-bg-threads-1] INFO  Datacenter - 240.88: DatacenterSimple: Vm 0 destroyed on Host 0/DC 1. 
20:24:15.404 [sbt-bg-threads-1] INFO  Datacenter - 240.88: DatacenterSimple: Vm 1 destroyed on Host 0/DC 2. 
20:24:15.404 [sbt-bg-threads-1] INFO  Datacenter - 240.88: DatacenterSimple: Vm 3 destroyed on Host 1/DC 3. 
20:24:15.404 [sbt-bg-threads-1] INFO  Datacenter - 240.88: DatacenterSimple: Vm 2 destroyed on Host 0/DC 3. 
20:24:15.404 [sbt-bg-threads-1] INFO  CloudSim - Simulation: No more future events

20:24:15.405 [sbt-bg-threads-1] INFO  CloudInformationService - CloudInformationService0: Notify all CloudSim Plus entities to shutdown.

20:24:15.405 [sbt-bg-threads-1] INFO  Datacenter - 240.88: DatacenterSimple2 is shutting down...
20:24:15.405 [sbt-bg-threads-1] INFO  CloudSim - 
================== Simulation finished at time 240.88 ==================

20:24:15.445 [sbt-bg-threads-1] INFO  Utils.ModelUtilization$ - Calculating Cost
20:24:15.447 [sbt-bg-threads-1] INFO  Utils.ModelUtilization$ - Total cost fo running all the task: 6266
20:24:15.448 [sbt-bg-threads-1] INFO  Utils.ModelUtilization$ - Data Center1  Host 0 CPU Usage mean: 13.333333333333334 | Power Consumption mean: 46.333333333333336
20:24:15.448 [sbt-bg-threads-1] INFO  Utils.ModelUtilization$ - Data Center1  Host 1 CPU Usage mean: 10.0 | Power Consumption mean: 46.0
20:24:15.448 [sbt-bg-threads-1] INFO  Utils.ModelUtilization$ - Data Center2  Host 0 CPU Usage mean: 4.0 | Power Consumption mean: 30.4
20:24:15.448 [sbt-bg-threads-1] INFO  Utils.ModelUtilization$ - Data Center2  Host 1 CPU Usage mean: 0.0 | Power Consumption mean: 30.0
20:24:15.448 [sbt-bg-threads-1] INFO  Utils.ModelUtilization$ - Data Center3  Host 0 CPU Usage mean: 8.0 | Power Consumption mean: 41.6
20:24:15.448 [sbt-bg-threads-1] INFO  Utils.ModelUtilization$ - Data Center3  Host 1 CPU Usage mean: 8.0 | Power Consumption mean: 41.6
20:24:15.449 [sbt-bg-threads-1] INFO  Utils.ModelUtilization$ - Vm  0  CPU Usage Mean: 50.0| Power Consumption Mean: 46.25
20:24:15.449 [sbt-bg-threads-1] INFO  Utils.ModelUtilization$ - Vm  1  CPU Usage Mean: 50.0| Power Consumption Mean: 35.0
20:24:15.449 [sbt-bg-threads-1] INFO  Utils.ModelUtilization$ - Vm  2  CPU Usage Mean: 50.0| Power Consumption Mean: 50.0
20:24:15.449 [sbt-bg-threads-1] INFO  Utils.ModelUtilization$ - Vm  5  CPU Usage Mean: 50.0| Power Consumption Mean: 46.25
20:24:15.449 [sbt-bg-threads-1] INFO  Utils.ModelUtilization$ - Vm  7  CPU Usage Mean: 50.0| Power Consumption Mean: 46.25
20:24:15.449 [sbt-bg-threads-1] INFO  Utils.ModelUtilization$ - Vm  9  CPU Usage Mean: 50.0| Power Consumption Mean: 46.25
20:24:15.449 [sbt-bg-threads-1] INFO  Utils.ModelUtilization$ - Vm  3  CPU Usage Mean: 50.0| Power Consumption Mean: 50.0
20:24:15.449 [sbt-bg-threads-1] INFO  Utils.ModelUtilization$ - Vm  4  CPU Usage Mean: 50.0| Power Consumption Mean: 46.666666666666664
20:24:15.449 [sbt-bg-threads-1] INFO  Utils.ModelUtilization$ - Vm  6  CPU Usage Mean: 50.0| Power Consumption Mean: 46.666666666666664
20:24:15.449 [sbt-bg-threads-1] INFO  Utils.ModelUtilization$ - Vm  8  CPU Usage Mean: 50.0| Power Consumption Mean: 46.666666666666664
20:24:15.449 [sbt-bg-threads-1] INFO  Simulation$ - Starting the Time Shared Simulation for the configuration given in application.conf
20:24:15.450 [sbt-bg-threads-1] INFO  Utils.DataCenterTypeSimple - Getting Config 
20:24:15.450 [sbt-bg-threads-1] INFO  Utils.DataCenterTypeSimple - Creating DatacenterSimple  
20:24:15.450 [sbt-bg-threads-1] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 0 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
20:24:15.450 [sbt-bg-threads-1] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 1 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
20:24:15.450 [sbt-bg-threads-1] INFO  Utils.DataCenterTypeSimple - Getting Config 
20:24:15.450 [sbt-bg-threads-1] INFO  Utils.DataCenterTypeSimple - Creating DatacenterSimple  
20:24:15.451 [sbt-bg-threads-1] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 0 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
20:24:15.451 [sbt-bg-threads-1] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 1 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
20:24:15.451 [sbt-bg-threads-1] INFO  Utils.DataCenterTypeSimple - Getting Config 
20:24:15.451 [sbt-bg-threads-1] INFO  Utils.DataCenterTypeSimple - Creating DatacenterSimple  
20:24:15.451 [sbt-bg-threads-1] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 0 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
20:24:15.451 [sbt-bg-threads-1] INFO  Host - Automatically enabling computation of utilization statistics for VMs on Host 1 could not be performed because it doesn't have VMs yet. You need to enable it for each VM created.
20:24:15.451 [sbt-bg-threads-1] INFO  Utils.VirtualMachines - Getting Config 
